Date,Country,Event
07-03-2020,Iraq,Iraq confirmed 8 new cases taking the total to 46.
07-03-2020,Italy,"Italy confirmed 1,247 new cases and 36 new deaths."
07-03-2020,Maldives,"Maldives confirmed its first cases, two overseas hotel employees."
07-03-2020,Malaysia,"Malaysia confirmed 10 more new cases, bringing the total number to 93."
07-03-2020,Italy,"Malta reported its first three cases, an Italian family who were residents in Malta. They had gone on holiday to northern Italy and had been in self-quarantine before being tested for the coronavirus. They were now in isolation at Mater Dei Hospital."
07-03-2020,Malta,"Malta reported its first three cases, an Italian family who were residents in Malta. They had gone on holiday to northern Italy and had been in self-quarantine before being tested for the coronavirus. They were now in isolation at Mater Dei Hospital."
07-03-2020,Italy,"Moldova confirmed its first case, a person taken to hospital after arriving on a flight from Italy."
07-03-2020,Moldova,"Moldova confirmed its first case, a person taken to hospital after arriving on a flight from Italy."
07-03-2020,New Zealand,New Zealand confirmed its fifth case of the coronavirus: a woman who was the partner of the third COVID-19 case confirmed in New Zealand.
07-03-2020,Paraguay,Paraguay confirmed its first case.
07-03-2020,Peru,"Peru confirmed five more cases, bringing the total to six."
07-03-2020,Poland,"Poland confirmed an additional case, bringing the total to 6."
07-03-2020,Singapore,"Singapore confirmed eight more cases, bringing the total number to 138."
07-03-2020,Spain,Spain confirmed 70 new cases and 2 deaths. The total number of cases was now 516 cases.
07-03-2020,United Arab Emirates,"The United Arab Emirates confirmed 15 additional cases, taking its total to 45."
07-03-2020,United Kingdom,"In the United Kingdom, 42 additional cases and one additional death were confirmed, taking the total to 206 cases and 2 deaths."
07-03-2020,United States,"In the United States, the number of deaths rose to 19 with 16 in Washington,"
08-03-2020,Albania,Albania confirmed the first two cases in the country.
08-03-2020,Austria,"Austria confirmed 25 additional cases, taking its total to 104."
08-03-2020,Bahrain,"Bahrain confirmed 17 new cases, taking the total to 94."
08-03-2020,Bangladesh,"Bangladesh confirmed its first three cases, two people who had come from Italy separately, and a contact of one of the cases."
08-03-2020,Italy,"Bangladesh confirmed its first three cases, two people who had come from Italy separately, and a contact of one of the cases."
08-03-2020,Belgium,"Belgium confirmed 31 additional cases, bringing the total number to 200."
08-03-2020,Brazil,"Brazil confirmed six new cases of COVID-19, raising the total number in the country to 25."
08-03-2020,Bulgaria,Bulgaria confirmed its first four cases.
08-03-2020,Canada,"Canada confirmed 12 new cases, bringing the total number to 69."
08-03-2020,Egypt,Egypt confirmed its first death (and the first death in Africa) - a German national who was hospitalised on 1 March and then suffered respiratory failure caused by acute pneumonia on 7 March.
08-03-2020,France,"France confirmed that the number of cases had risen to 1,126 and 19 deaths."
08-03-2020,Germany,"Germany's cases rose to over 1,000 with 1,018 cases confirmed."
08-03-2020,Hong Kong,"Hong Kong confirmed four new cases, taking the total to 114, and a third death."
08-03-2020,India,"India confirmed five additional cases, all in Kerala. This took the country's total up to 39."
08-03-2020,Indonesia,"Indonesia confirmed two additional cases, taking them to 6 cases. One of the new cases was a male crew member from the Diamond Princess."
08-03-2020,Iran,"Iran confirmed 49 additional deaths, the highest daily toll in the country, taking it to a total of 194 deaths."
08-03-2020,Israel,"Israel confirmed 11 additional cases, taking its total to 29."
08-03-2020,Italy,"Italy confirmed an additional 1,492 cases and 133 deaths, taking it to a total of 7,375 cases and 366 deaths."
08-03-2020,Kuwait,"Kuwait confirmed an additional case, taking its total to 62."
08-03-2020,Latvia,Latvia confirmed an additional case.
08-03-2020,Lebanon,"Lebanon confirmed four more cases, bringing the total number to 32."
08-03-2020,Malaysia,"Malaysia confirmed an additional six cases, taking the total to 99."
08-03-2020,Poland,"Poland confirmed two additional cases, taking the total to 8. In the evening, three more cases were confirmed, bringing the total number to 11."
08-03-2020,Portugal,Portugal confirmed four additional cases.
08-03-2020,Qatar,"Qatar confirmed three additional cases, taking their total to 15."
08-03-2020,Saudi Arabia,"Saudi Arabia confirmed four additional cases, bringing the total number to 11."
08-03-2020,Singapore,"Singapore confirmed 12 new cases, bringing the total number to 150."
08-03-2020,Spain,"Spain announced the new total was 616 cases, along with 17 deaths, an increase of seven."
08-03-2020,South Africa,"South Africa confirmed its third case, the wife of the first diagnosed case."
08-03-2020,Switzerland,"Switzerland confirmed there are now 332 confirmed cases, with all those people placed in isolation. There had been two deaths."
08-03-2020,United Kingdom,"The United Kingdom announced an increase of 64 new cases, taking it to a total of 273 cases."
08-03-2020,United States,"The United States confirmed 120 more cases, bringing the total number to 564. Two more deaths were confirmed, bringing the total number to 21."
09-03-2020,Australia,"Australia's number of confirmed cases rose to 80, with six additional cases."
09-03-2020,Bahrain,"Bahrain confirmed an additional 24 cases, taking the total to 118."
09-03-2020,Belgium,"Belgium confirmed 39 additional cases, bringing the total number to 239."
09-03-2020,Brazil,"Brazil confirmed five new cases in the state of Rio de Janeiro, raising the total number to 30."
09-03-2020,Canada,Canada recorded its first COVID-19-related death.
09-03-2020,Colombia,Colombia confirmed two additional cases.
09-03-2020,Cyprus,Cyprus confirmed its first two cases.
09-03-2020,Finland,"Finland confirmed seven new cases, bringing the total number to 30."
09-03-2020,France,"France saw Guillaume Vuilletet and Sylvie Tolmont confirmed as infected deputies,"
09-03-2020,Germany,"Germany reported its first deaths with two fatalities. Cases increased to 1,176."
09-03-2020,Hungary,Hungary confirmed two new cases.
09-03-2020,India,"India confirmed five additional cases, taking the total to 44."
09-03-2020,Indonesia,"Indonesia confirmed 13 additional cases, bringing the total number to 19."
09-03-2020,Iran,"Iran announced an update to the total cases to 7,161, with a revised number of deaths to 237. New infections are 595 new cases and 43 additional deaths. Those recovered has reached 2,394."
09-03-2020,Ireland,"Ireland confirmed three additional cases, taking the country's total to 24."
09-03-2020,Italy,"Italy saw confirmed cases rise to 9,172 and deaths to 463."
09-03-2020,Kuwait,"Kuwait announced three additional cases, taking it to a total of 65."
09-03-2020,Lebanon,"Lebanon reported nine new cases, taking the total to 41."
09-03-2020,Malaysia,"Malaysia confirmed 18 new cases, taking it to 117."
09-03-2020,Netherlands,The Netherlands announced 56 additional cases.
09-03-2020,Niger,"Nigeria confirmed its second case, a Nigerian who had contact with the Italian first case."
09-03-2020,Nigeria,"Nigeria confirmed its second case, a Nigerian who had contact with the Italian first case."
09-03-2020,Norway,Norway declared 11 additional cases. By the end of the day 227 cases had been confirmed.
09-03-2020,Iran,"Oman reported two additional cases, both of whom had travelled to Iran. This took the country's total to 18, 17 of whom had travelled to Iran and one to Italy."
09-03-2020,Italy,"Oman reported two additional cases, both of whom had travelled to Iran. This took the country's total to 18, 17 of whom had travelled to Iran and one to Italy."
09-03-2020,Oman,"Oman reported two additional cases, both of whom had travelled to Iran. This took the country's total to 18, 17 of whom had travelled to Iran and one to Italy."
09-03-2020,Panama,"Panama announced its first COVID-19 case, a 40 year old Panamanian woman from Spain."
09-03-2020,Spain,"Panama announced its first COVID-19 case, a 40 year old Panamanian woman from Spain."
09-03-2020,Philippines,"The Philippines confirmed 10 additional cases, doubling the current country count to 20."
09-03-2020,Pakistan,"Pakistan saw nine new cases, bringing the total number to 16."
09-03-2020,Poland,"Poland confirmed five more cases, bringing the total number to 16."
09-03-2020,Saudi Arabia,"Saudi Arabia confirmed four additional cases, increasing the total to 15."
09-03-2020,Singapore,"Singapore confirmed 10 more cases, bringing the total number to 160."
09-03-2020,South Africa,"South Africa confirmed another four cases, bringing the total number to 7."
09-03-2020,Spain,"Spain's numbers increased to 1,231 cases with 30 deaths, with 32 people having recovered."
09-03-2020,Sweden,"Sweden confirmed 45 additional cases, taking its total to 203."
09-03-2020,Switzerland,"Switzerland confirmed 42 new cases, rising to a total of 374."
09-03-2020,United Arab Emirates,"The United Arab Emirates reported 14 additional cases, taking its total to 59. Four were Emiratis and the remainder from various other nationalities."
09-03-2020,United Kingdom,"The United Kingdom's confirmed cases increased by two, with the confirmation of cases in Wales."
09-03-2020,United States,"The United States confirmed 153 additional cases, bringing the total number to 717. Five more deaths were reported, bringing the total number to 26."
10-03-2020,Australia,"Australia reported 14 new cases, taking the country to a total of 107."
10-03-2020,Austria,"Austria confirmed 25 additional cases, taking the total to 182."
10-03-2020,Bahrain,"Bahrain confirmed one additional case, taking the total to 119."
10-03-2020,Belgium,"Belgium confirmed 28 new cases, bringing the total number to 267."
10-03-2020,Bolivia,"Bolivia confirmed its first cases, two women who had been in Italy, arriving the country without showing any symptoms."
10-03-2020,Italy,"Bolivia confirmed its first cases, two women who had been in Italy, arriving the country without showing any symptoms."
10-03-2020,Brazil,"Brazil confirmed four new cases, including the first case in Rio Grande do Sul, raising the total number to 34."
10-03-2020,Bulgaria,"Bulgaria confirmed two additional cases, bringing the total to 6."
10-03-2020,Burkina Faso,"Burkina Faso confirmed its first cases with two infections, a couple who had returned from France in February."
10-03-2020,France,"Burkina Faso confirmed its first cases with two infections, a couple who had returned from France in February."
10-03-2020,China,"China saw only 19 new infections, 17 in Wuhan and 2 imported from overseas."
10-03-2020,Belgium,"Democratic Republic of Congo reported its first case, a foreigner who flew into Kinshasa from Belgium who tested positive on arrival and was isolated."
10-03-2020,Congo,"Democratic Republic of Congo reported its first case, a foreigner who flew into Kinshasa from Belgium who tested positive on arrival and was isolated."
10-03-2020,Denmark,"Denmark confirmed 174 additional cases, taking it to 264 cases (including two in the Faroe Islands)."
10-03-2020,Faroe Islands,"Denmark confirmed 174 additional cases, taking it to 264 cases (including two in the Faroe Islands)."
10-03-2020,France,"France saw cases rise to 1,784 people and 33 people dead, with 86 people in a serious condition."
10-03-2020,Georgia,"Georgia confirmed eight additional cases, bringing the total to 23."
10-03-2020,Germany,"Germany's number of case rose to 1,565, with the death roll remaining at 2. 341 new cases were reported in the previous 24 hours."
10-03-2020,Greece,"Greece confirmed five new cases, bringing the total number to 89."
10-03-2020,Hong Kong,"Hong Kong confirmed an additional five cases, taking the total to 120 confirmed and 1 assumed case."
10-03-2020,India,"India saw 18 additional cases, many in Kerala, taking the total to 62."
10-03-2020,Indonesia,"Indonesia confirmed eight more cases, bringing the total number to 27."
10-03-2020,Iran,"Iran's confirmed cases rose to 8,042 and deaths rose to 291."
10-03-2020,Ireland,"Ireland reported 10 additional cases, bringing the total number to 34."
10-03-2020,Israel,"Israel confirmed seven more cases, taking the total to 58."
10-03-2020,Italy,"Italy saw an increase of cases to 10,149, with deaths rising to 631."
10-03-2020,Jamaica,"Jamaica confirmed its first case, a Jamaican national who travelled to the country from the United Kingdom."
10-03-2020,United Kingdom,"Jamaica confirmed its first case, a Jamaican national who travelled to the country from the United Kingdom."
10-03-2020,Japan,Japan confirmed 59 new cases and three new deaths.
10-03-2020,Italy,"Jersey confirmed its first case, a person who returned from Italy."
10-03-2020,Kuwait,"Kuwait announced four additional cases, increasing the total number to 69."
10-03-2020,Lebanon,Lebanon confirmed its first death from the virus.
10-03-2020,Malaysia,"Malaysia confirmed 12 additional cases, taking the total to 129."
10-03-2020,Italy,"Moldova confirmed two additional cases, taking the total to 3. The male and female, have both visited Italy in late February."
10-03-2020,Moldova,"Moldova confirmed two additional cases, taking the total to 3. The male and female, have both visited Italy in late February."
10-03-2020,Mongolia,Mongolia announced its first COVID-19 case.
10-03-2020,Morocco,"Morocco confirmed its first death, and two additional cases."
10-03-2020,Netherlands,The Netherlands confirmed 61 additional cases and a fourth death.
10-03-2020,Cyprus,"Northern Cyprus reported its first case, a 65-year-old German woman who was visiting as a tourist."
10-03-2020,Norway,"Norway confirmed 147 new cases, with total cases now standing at 374."
10-03-2020,Panama,"Panama announced its first death and seven new cases, bringing the total number to 8."
10-03-2020,Pakistan,"Pakistan confirmed an additional case, bringing the total to 20."
10-03-2020,Philippines,"The Philippines confirmed nine more cases, bringing the total number to 33. This comes after the tally was erroneously reported as 35."
10-03-2020,Poland,"Poland confirmed eight additional cases, taking the total to 22."
10-03-2020,Qatar,"Qatar confirmed six additional cases, taking it to 24 confirmed cases."
10-03-2020,Romania,"Romania confirmed eight additional cases, bringing the total number to 25."
10-03-2020,San Marino,"San Marino confirmed 11 new cases, taking it to a total of 62 cases and two deaths."
10-03-2020,Saudi Arabia,"Saudi Arabia confirmed ten additional cases, taking the total to 20."
10-03-2020,Singapore,"Singapore confirmed six more cases, bringing the total number to 166."
10-03-2020,Slovenia,Slovenia confirmed 15 additional cases.
10-03-2020,Spain,"Spain confirmed 415 new cases and five new deaths. The total number of cases rose to 1,674."
10-03-2020,Sweden,"Sweden reported 78 new cases, taking the country's total to 326."
10-03-2020,Tunisia,"Tunisia announced an additional three cases, taking the total to 5."
10-03-2020,Turkey,Turkey confirmed its first case.
10-03-2020,United Arab Emirates,"The United Arab Emirates confirmed 15 additional cases, taking the total to 74."
10-03-2020,United Kingdom,"The United Kingdom confirmed 54 additional cases, taking it to 373 cases with the sixth confirmed death."
10-03-2020,United States,"The United States confirmed 283 additional cases, bringing the total number to 1,000. Five more deaths were reported, bringing the total number to 31."
11-03-2020,Albania,"Albania reported three new cases, taking the country's total to 15. The first death in the country was also reported."
11-03-2020,Armenia,"Armenia confirmed three new cases, bringing the total number to 4."
11-03-2020,Australia,"Australia reported 19 new cases, taking the country to a total of 126. American actor Tom Hanks and wife Rita Wilson were diagnosed with the illness during the filming of the Baz Luhrmann's upcoming-biographical film Elvis in Australia."
11-03-2020,Austria,"Austria confirmed 24 additional cases, taking the total to 206."
11-03-2020,Bahrain,"Bahrain confirmed 77 additional cases, citizens evacuated from Iran on a flight. This brought the country's total to 189."
11-03-2020,Iran,"Bahrain confirmed 77 additional cases, citizens evacuated from Iran on a flight. This brought the country's total to 189."
11-03-2020,Belgium,Belgium reported its first death.
11-03-2020,Brazil,"Brazil confirmed 34 additional cases, raising the total number to 69."
11-03-2020,Bulgaria,Bulgaria reported its first death.
11-03-2020,China,"China confirmed 11 new cases across the Mainland, in addition to 13 new cases and 22 new deaths in Hubei province."
11-03-2020,Colombia,"Colombia confirmed three additional cases, bringing the total to 6."
11-03-2020,Cuba,Cuba confirmed its first three cases.
11-03-2020,Denmark,"Denmark confirmed 180 additional cases, raising the total to 442."
11-03-2020,Egypt,"Egypt confirmed seven additional cases, six of whom were Egyptian. The country now had 67 cases of which eight have recovered."
11-03-2020,France,"France reported 487 new cases and 15 fatalities, for a total of 2,281 cases and 48 deaths."
11-03-2020,French Polynesia,"French Polynesia reported its first case. The person is Maina Sage, a member of the French National Assembly."
11-03-2020,Georgia,"Georgia reported five additional cases, increasing the total to 23."
11-03-2020,Germany,"Germany saw its cases rise to 1,908."
11-03-2020,Greece,"Greece confirmed 10 additional cases, taking the country's total to 99, 95 of whom were Greek and 4 were foreign nationals."
11-03-2020,Guyana,"Guyana confirmed its first two case, from a 52-year-old woman suffering from underlying health conditions, including diabetes and hypertension."
11-03-2020,Honduras,"Honduras confirmed its first two cases, one from Spain and one from Switzerland."
11-03-2020,Spain,"Honduras confirmed its first two cases, one from Spain and one from Switzerland."
11-03-2020,Switzerland,"Honduras confirmed its first two cases, one from Spain and one from Switzerland."
11-03-2020,Indonesia,"Indonesia confirmed seven more cases, bringing the total number to 34."
11-03-2020,Iran,"Iran announced that there are now 9,000 infected, with 354 deaths. New infections were 958 with 63 additional deaths. Those recovered total 2,959."
11-03-2020,Ireland,"Ireland confirmed nine additional cases, bringing the total number to 43. The first death was also confirmed."
11-03-2020,Israel,Israel confirmed 97 cases.
11-03-2020,Italy,"Italy announced 2,313 new cases and 196 new deaths. Total cases stood at 12,462, with deaths at 827."
11-03-2020,Italy,"Ivory Coast declared its first case, a local citizen who had recently been in Italy."
11-03-2020,Kuwait,"Kuwait reported three additional cases, bringing its total to 72."
11-03-2020,Lebanon,"Lebanon recorded eight new cases, taking the total to 59, and a second death."
11-03-2020,Italy,"Lithuania confirmed two additional cases, a married couple that came back from Italy, taking the total to 3 cases."
11-03-2020,Lithuania,"Lithuania confirmed two additional cases, a married couple that came back from Italy, taking the total to 3 cases."
11-03-2020,Malaysia,"Malaysia confirmed 20 additional cases, taking the total to 149."
11-03-2020,Maldives,Maldives confirmed two additional cases.
11-03-2020,Morocco,"Morocco confirmed two additional cases, bringing the total to 5."
11-03-2020,Netherlands,"The Netherlands' total increased to 503 cases, and one new death was reported."
11-03-2020,Norway,"Norway confirmed 200 additional cases, taking the total number to 602."
11-03-2020,Paraguay,Paraguay confirmed three new cases.
11-03-2020,Panama,"Panama confirmed several new cases, bringing the total to 14."
11-03-2020,Philippines,"The Philippines confirmed 16 additional cases, bringing the country's total to 49."
11-03-2020,Portugal,Portugal announced 18 new cases.
11-03-2020,Qatar,"Qatar reported six new cases, increasing the country's total to 24."
11-03-2020,Romania,"Romania confirmed 18 new cases, bringing the total to 47."
11-03-2020,Egypt,"Saudi Arabia reported an additional case, an Egyptian, taking the country's total to 21."
11-03-2020,Saudi Arabia,"Saudi Arabia reported an additional case, an Egyptian, taking the country's total to 21."
11-03-2020,Singapore,"Singapore confirmed 12 new cases, bringing the total number to 178."
11-03-2020,South Africa,"South Africa confirmed six more cases, taking the total to 13."
11-03-2020,Spain,"Spain's cases rose to 2,231, with 54 confirmed deaths."
11-03-2020,Sri Lanka,"Sri Lanka announced one additional case, bringing the total number to 2."
11-03-2020,Sweden,"Sweden reported 98 additional cases, taking the total to 500, and announced the first death in the country."
11-03-2020,Taiwan,"Taiwan confirmed one additional case, raising the country's total to 48."
11-03-2020,Thailand,"Thailand confirmed six additional cases, taking the country's cases to 59."
11-03-2020,United Kingdom,"The United Kingdom confirmed an additional 86 cases, with its overall total now at 456. Two more deaths were confirmed, bringing the total to 8."
11-03-2020,United States,"The United States confirmed 272 additional cases, bringing the total number to 1,272. Seven more deaths were reported, bringing the total number to 38."
12-03-2020,Algeria,Algeria confirmed five additional cases and the first death.
12-03-2020,Brazil,"Brazil confirmed 82 new cases, raising the total number to 149."
12-03-2020,Bulgaria,"Bulgaria reported nine new cases from the capital, bringing the total number to 16. They later reported seven more cases, bringing the total number to 23."
12-03-2020,China,China reports eight new cases and 11 deaths; representing a sharp drop in the number of transmissions and fatalities in China.
12-03-2020,Colombia,"Colombia confirmed four more cases, raising the total to 13."
12-03-2020,Egypt,Egypt confirmed 13 new cases and one new death.
12-03-2020,France,"France's total increased to 2,876 and 61 deaths."
12-03-2020,Germany,"Germany announced 546 new cases and two additional deaths, taking the totals to 2,745 cases and 6 deaths."
12-03-2020,India,"India confirmed its first death, a 76 year old Indian national with existing health conditions, who had recently returned from Saudi Arabia."
12-03-2020,Saudi Arabia,"India confirmed its first death, a 76 year old Indian national with existing health conditions, who had recently returned from Saudi Arabia."
12-03-2020,Italy,"Italy confirmed 189 more deaths, bringing the total number to 1,016, and 2,651 new cases were also confirmed, bringing the total number to 15,113."
12-03-2020,Ireland,"Ireland confirmed 27 new cases, bringing the total to 70. 22 of the new cases were by local transmission.  Speaking from Blair House during his Saint Patrick's Day official visit to Washington, D.C., PM Leo Varadkar announced that schools, colleges and childcare would close starting 13 March, recommended cancellation of indoor gatherings of more than 100 people, outdoor gatherings of more than 500 and advised those who could to work from home to do so."
12-03-2020,Kuwait,"Kuwait confirmed eight more cases, taking the total number to 80."
12-03-2020,Malaysia,Malaysia confirmed its first sporadic case after 600 tests.
12-03-2020,Norway,Norway reported its first death.
12-03-2020,Philippines,"The Philippines confirmed three more cases, bringing the total cases to 52."
12-03-2020,Romania,"Romania confirmed one new case, bringing to total number to 48."
12-03-2020,San Marino,San Marino reported 15 new cases and three additional deaths.
12-03-2020,Singapore,"Singapore confirmed nine more cases, bringing the total number to 187."
12-03-2020,Spain,"Spain confirmed 782 new cases and 31 new deaths, raising the country's total to 3,059 cases and 86 dead."
12-03-2020,Sri Lanka,"Sri Lanka confirmed an additional case, taking the total number to 3."
12-03-2020,Switzerland,Switzerland confirmed 212 new cases and 2 additional deaths.
12-03-2020,Ukraine,"Ukraine reported two new cases, bringing the total number to 3."
12-03-2020,United Kingdom,"The United Kingdom confirmed 136 new cases, bringing the total number to 596. Two more deaths were also confirmed, bringing the total to 10."
12-03-2020,United States,"The United States confirmed 373 additional cases, bringing the total number to 1,645. Three more deaths were reported, bringing the total number to 41."
12-03-2020,Australia,"A team member of McLaren tested positive for the coronavirus, throwing the 2020 Australian Grand Prix into disarray."
13-03-2020,Aruba,"Aruba confirmed its first two cases, people who travelled in from New York."
13-03-2020,Bulgaria,"Bulgaria confirmed three new cases, bringing the total number to 26. Bulgaria later confirmed five additional cases, bringing the total to 31."
13-03-2020,Brazil,"Brazil confirmed 22 new cases, bringing the total number to 171."
13-03-2020,Cayman Islands,The Cayman Islands confirmed its first case.
13-03-2020,Colombia,"Colombia reported three more cases, raising the total to 16."
13-03-2020,Costa Rica,"Costa Rica reported three new cases since 12 March, bringing the total number of cases to 26."
13-03-2020,Ethiopia,Ethiopia confirmed its first case.
13-03-2020,France,"France's numbers increased to 2,876 cases and 81 deaths."
13-03-2020,Gabon,Gabon confirmed its first case.
13-03-2020,Germany,"Germany's case total rose to 3,675."
13-03-2020,Ghana,"Ghana confirmed its first two cases, a Norwegian Embassy official and a Turkish citizen."
13-03-2020,France,"Guadeloupe confirmed its first case, a citizen who recently returned from France."
13-03-2020,Guadeloupe,"Guadeloupe confirmed its first case, a citizen who recently returned from France."
13-03-2020,Guatemala,"Guatemala confirmed its first case, a traveller from Italy."
13-03-2020,Italy,"Guatemala confirmed its first case, a traveller from Italy."
13-03-2020,Guinea,"Guinea reported its first case, an employee of the EU delegation."
13-03-2020,Italy,"Italy's cases rose to 17,660 and deaths rose to 1,266, a rise of 250 deaths in 24 hours."
13-03-2020,Kazakhstan,"Kazakhstan confirmed its first two cases, which were also the first in Central Asia."
13-03-2020,United States,"Kenya confirmed its first case, a Kenyan national who had returned from the United States via London."
13-03-2020,Kenya,"Kenya confirmed its first case, a Kenyan national who had returned from the United States via London."
13-03-2020,Italy,"Lithuania confirmed three new cases, bringing the total number to 6. A Spanish citizen from Madrid was confirmed in Vilnius, along with a woman in Klaipėda who arrived from Tenerife, and a man in Kaunas who arrived from Italy on 29 February."
13-03-2020,Lithuania,"Lithuania confirmed three new cases, bringing the total number to 6. A Spanish citizen from Madrid was confirmed in Vilnius, along with a woman in Klaipėda who arrived from Tenerife, and a man in Kaunas who arrived from Italy on 29 February."
13-03-2020,Malaysia,"Malaysia confirmed 39 new cases, bringing the total number to 197."
13-03-2020,Philippines,"The Philippines confirmed 12 more cases, bringing the total number to 64."
13-03-2020,Panama,"Panama confirmed several new cases, bringing the total to 27."
13-03-2020,Puerto Rico,"Puerto Rico confirmed its first three cases, a 71-year-old man and an Italian couple, aged 68 and 70."
13-03-2020,Saint Lucia,"Saint Lucia confirmed its first case, a 63-year-old woman who had traveled to the UK."
13-03-2020,Singapore,"Singapore confirmed 13 more cases, bringing the total number to 200. The number of imported cases surpassed that of local cases."
13-03-2020,Slovakia,"Slovakia confirmed 11 new cases, bringing the total number to 32."
13-03-2020,Spain,"Spain's cases rose to 4,231. 35 more deaths were also confirmed, bringing the total to 121."
13-03-2020,Sri Lanka,"Sri Lanka confirmed three new cases, bringing the total number to 6."
13-03-2020,Sudan,"Sudan confirmed its first case and first death, a man in his 50s who travelled to the United Arab Emirates."
13-03-2020,United Arab Emirates,"Sudan confirmed its first case and first death, a man in his 50s who travelled to the United Arab Emirates."
13-03-2020,Suriname,Suriname confirmed its first case.
13-03-2020,Switzerland,"Switzerland reported 1,125 cases (of which 116 are undergoing final analysis),"
13-03-2020,Panama,"Panama confirmed several new cases, bringing the total number to 36."
13-03-2020,Turkey,Turkey confirmed its second case.
13-03-2020,Poland,"Ukraine reported its first death, a 71-year-old woman from Radomyshl, Zhytomyr Oblast who recently travelled to Poland."
13-03-2020,Ukraine,"Ukraine reported its first death, a 71-year-old woman from Radomyshl, Zhytomyr Oblast who recently travelled to Poland."
13-03-2020,United Kingdom,"The United Kingdom confirmed 202 new cases, bringing the total number to 798. The first death was confirmed in Scotland, bringing the total deaths across the UK to 11."
13-03-2020,United States,"The United States confirmed 559 additional cases, bringing the total number to 2,204. Eight more deaths were reported, bringing the total number to 49."
13-03-2020,Italy,"Uruguay confirmed its first four cases, all of them having travelled from Milan, Italy."
13-03-2020,Uruguay,"Uruguay confirmed its first four cases, all of them having travelled from Milan, Italy."
13-03-2020,United States,"Venezuela confirmed its first two cases, one a traveller from the United States, and the second who had travelled from Spain."
13-03-2020,Spain,"Venezuela confirmed its first two cases, one a traveller from the United States, and the second who had travelled from Spain."
13-03-2020,Venezuela,"Venezuela confirmed its first two cases, one a traveller from the United States, and the second who had travelled from Spain."
14-03-2020,Brazil,"Brazil confirmed seven more cases, bringing the total number to 178."
14-03-2020,Bulgaria,"Bulgaria confirmed six new cases bringing the total number to 37. One more death was also confirmed, bringing the total number to 2."
14-03-2020,Central African Rep,Central African Republic confirmed its first case.
14-03-2020,China,"China reported 20 new cases, up from 11 cases a day earlier. 16 of the cases were overseas travelers. In response, the Beijing authorities announced that everyone arriving from overseas would be quarantined for 14 days."
14-03-2020,Colombia,"Colombia reported additional eight more cases, taking the total to 24."
14-03-2020,Congo,"Congo Republic confirmed its first case, a person who had travelled from France."
14-03-2020,France,"Congo Republic confirmed its first case, a person who had travelled from France."
14-03-2020,Denmark,"Denmark confirmed the first death in the country, an 81-year-old man."
14-03-2020,Equatorial Guinea,"Equatorial Guinea confirmed its first case, a 42-year-old woman who returned from Madrid."
14-03-2020,Guinea,"Equatorial Guinea confirmed its first case, a 42-year-old woman who returned from Madrid."
14-03-2020,United States,"Eswatini confirmed its first case, a 33-year-old woman, who traveled to the United States and then Lesotho before returning home to Eswatini."
14-03-2020,Lesotho,"Eswatini confirmed its first case, a 33-year-old woman, who traveled to the United States and then Lesotho before returning home to Eswatini."
14-03-2020,France,"France confirmed 838 new cases, bringing the total number to 4,499. 12 more deaths were confirmed, bringing the total to 91."
14-03-2020,Iran,"Iran confirmed 1,365 new cases, bringing the total number to 12,729. 97 more deaths were confirmed, bringing the total to 611."
14-03-2020,Ireland,"Ireland confirmed 39 new cases, the largest to date, and one more confirmed death. 129 total confirmed cases and 2 deaths."
14-03-2020,Italy,"Italy confirmed 3,497 new cases, bringing the total number to 21,157. 175 more deaths were also confirmed, bringing the total to 1,441."
14-03-2020,Malaysia,"Malaysia confirmed 41 new cases, bringing the total number to 238."
14-03-2020,Mauritania,Mauritania confirmed its first case.
14-03-2020,Mayotte,Mayotte confirmed its first case.
14-03-2020,Moldova,Moldova confirmed 4 new cases.
14-03-2020,Namibia,"Namibia confirmed its first cases, two tourists visiting the country."
14-03-2020,United States,"New Zealand confirmed its sixth case, a man who had returned from the United States on 6 March."
14-03-2020,New Zealand,"New Zealand confirmed its sixth case, a man who had returned from the United States on 6 March."
14-03-2020,Philippines,"The Philippines confirmed 47 more cases, bringing the total number to 111."
14-03-2020,Rwanda,Rwanda confirmed its first case.
14-03-2020,Saudi Arabia,"Saudi Arabia confirmed 17 additional cases, with its total rising to 103."
14-03-2020,Singapore,"Singapore confirmed 12 more cases, bringing the total number to 212."
14-03-2020,Seychelles,Seychelles reported its first two cases.
14-03-2020,Spain,"Spain confirmed 1,522 new cases, raising its total to 5,753 cases. 62 more deaths were confirmed, bringing the total to 183."
14-03-2020,Sri Lanka,"Sri Lanka confirmed two new cases, bringing the total number to 8."
14-03-2020,Panama,"Panama confirmed several new cases, bringing the total number to 43."
14-03-2020,Thailand,"Thailand confirmed seven more cases, bringing the total number to 82."
14-03-2020,United Kingdom,"The United Kingdom confirmed 342 new cases, bringing the total number to 1,140. 10 more deaths were reported, bringing the total to 21."
14-03-2020,United States,"The United States confirmed 612 new cases, bringing the total number to 2,816. One of the cases was 24-year-old Christian Wood of the Detroit Pistons."
14-03-2020,United States,Puerto Rico issued the first stay at home order in the United States.
14-03-2020,Puerto Rico,Puerto Rico issued the first stay at home order in the United States.
15-03-2020,Cyprus,Akrotiri and Dhekelia bases in Cyprus announced the first two cases among British military personnel.
